Company,Tier,Tier_Level,Price_Original,Price_Numeric,Pricing_Model,Feature_Count,has_ai,has_sso,has_api,has_automation,has_analytics,has_integrations,Features
Airtable,Free,1,Free,0.0,Free,5,False,False,False,True,False,False,1000 records per base | 1GB attachments | 100 automation runs | Up to 5 editors | Unlimited bases
Airtable,Team,2,$20,20.0,Listed,5,False,False,False,True,False,True,50000 records per base | 25000 automations | 25GB attachments | Gantt view | Sync integrations
Airtable,Business,3,$45,45.0,Listed,6,False,True,False,True,False,True,125000 records per base | 100000 automations | 100GB attachments | Admin panel | SAML SSO | Two-way sync
Airtable,Enterprise,4,Contact sales,,Custom,6,False,False,True,True,False,False,500000 records per base | 500000 automations | 1TB attachments | Advanced security | Audit logs | Enterprise API
Asana,Personal,1,Free,0.0,Free,4,False,False,False,False,False,True,Unlimited tasks | Up to 10 teammates | List board calendar views | Basic integrations
Asana,Starter,1,$11,11.0,Listed,5,False,False,False,True,True,False,Timeline view | Workflow builder | 250 automations/month | Project dashboards | Custom fields
Asana,Advanced,3,$25,25.0,Listed,6,False,False,False,True,True,False,Portfolios | Goals | 25000 automations/month | Advanced reporting | Workload management | Time tracking
Asana,Enterprise,4,Contact sales,,Custom,5,False,True,False,False,False,False,Admin controls | SAML SSO | Data export | Custom onboarding | Priority support
Clickup,Free,1,Free,0.0,Free,0,False,False,False,False,False,False,
Clickup,Unlimited,2,$24,24.0,Listed,0,False,False,False,False,False,False,
Clickup,Business,3,Contact sales,,Custom,0,False,False,False,False,False,False,
Clickup,Enterprise,4,Contact sales,,Custom,0,False,False,False,False,False,False,
Coda,Free,1,Free,0.0,Free,0,False,False,False,False,False,False,
Coda,Pro,2,,,Custom,0,False,False,False,False,False,False,
Coda,Team,2,$30,30.0,Listed,0,False,False,False,False,False,False,
Coda,Enterprise,4,Contact sales,,Custom,0,False,False,False,False,False,False,
