Company,Tier,Price,Features
Airtable,Free,Free,1000 records per base | 1GB attachments | 100 automation runs | Up to 5 editors | Unlimited bases
Airtable,Team,$20,50000 records per base | 25000 automations | 25GB attachments | Gantt view | Sync integrations
Airtable,Business,$45,125000 records per base | 100000 automations | 100GB attachments | Admin panel | SAML SSO | Two-way sync
Airtable,Enterprise,Contact sales,500000 records per base | 500000 automations | 1TB attachments | Advanced security | Audit logs | Enterprise API
Asana,Personal,Free,Unlimited tasks | Up to 10 teammates | List board calendar views | Basic integrations
Asana,Starter,$11,Timeline view | Workflow builder | 250 automations/month | Project dashboards | Custom fields
Asana,Advanced,$25,Portfolios | Goals | 25000 automations/month | Advanced reporting | Workload management | Time tracking
Asana,Enterprise,Contact sales,Admin controls | SAML SSO | Data export | Custom onboarding | Priority support
Clickup,Free,Free,
Clickup,Unlimited,$24,
Clickup,Business,Contact sales,
Clickup,Enterprise,Contact sales,
Coda,Free,Free,
Coda,Pro,,
Coda,Team,$30,
Coda,Enterprise,Contact sales,
Figma,Starter,Free,Up to 3 Figma files | 3 FigJam boards | Unlimited viewers | Basic prototyping | 30-day version history | Community plugins
Figma,Professional,$12,Unlimited Figma files | Unlimited version history | Advanced prototyping | Team libraries | Dev Mode | Shared projects | Audio conversations
Figma,Organization,$45,Organization-wide libraries | Design system analytics | Branching and merging | Private plugins | Centralized billing | Advanced admin controls
Figma,Enterprise,$75,SAML SSO | Advanced security | Org-wide design systems | Custom workspaces | Audit logs | 99.9% uptime SLA | Dedicated support
Miro,Free,Free,"Included Single workspace with 3 editable boards and structured formats | Included Start faster and enhance productivity with 5,000+ Miro and community-made templates | Included Seamlessly integrate your workflows with 160+ apps, including Zoom, Slack, Google Drive, and Sketch | Included Use layers to show, hide, and group objects on the same board | featuresMatrix.featuresColumn.aiFeature Try Miro AI — 10 credits/month per team | Included Record and share 5 Talktracks to give interactive video walkthroughs of boards"
Miro,Starter,Free,"Included Create and share unlimited boards and structured formats such as Docs, Tables, Diagrams, and Slides, in one workspace New | Included Share boards publicly with unlimited Visitors, no sign-in required | Included Export boards in high resolution to JPG or PDF | Included Restore previous content with version history | Included Upload brand fonts or colors with Brand Center and create custom templates | Included Organize boards into project folders with Spaces or kickstart work with pre-built Blueprints | featuresMatrix.featuresColumn.aiFeature Create, edit, and synthesize board content with Miro AI — 25 credits/month per member | Included Run interactive meetings with Timer, Voting, Video calls, Private mode, Estimation, and more | Included Restrict board access with Private boards | Included Record and share interactive video walkthroughs of boards with unlimited Talktracks | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New"
Miro,Business,$16,"Included Create and share unlimited boards and structured formats in multiple private workspaces, customized for each team or client | Included Invite unlimited Guests to securely collaborate with clients or partners, sign-in required | featuresMatrix.featuresColumn.aiFeature Create, edit, and synthesize board content with Miro AI — 50 credits/month per member | Included Visualize processes and systems with 3,600+ diagramming shapes and icons from UML, AWS, Azure, ERD, and more, or upload custom shapes | Included Map and prioritize tasks across teams with two-way Jira or Azure sync using Dependencies and Planner | Included Secure and simplify access with Single Sign On (SSO) through OKTA, OneLogin, Auth0, and more | Included Keep content up-to-date and connected across boards with Synced copies | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New"
Miro,Enterprise,Contact sales,"Included Flexible license program scales Miro licenses with your usage, no extra fees or contract changes | Included Simplify admin tasks with SCIM, request management, billing groups, and more | Included Centralized account management and insights for adoption and usage | Included Organization-wide controls for Miro and third-party app integrations | Included Ensure enterprise-grade security with SSO, domain control, data classification and more | Included Choose data hosting in the EU or US with Miro's Data Center Residency Program | Included Engage with Miro's Customer Success Program | featuresMatrix.featuresColumn.aiFeature Fast-track innovation with Miro AI plus organization-wide or team-specific AI controls — 100 credits/month per member | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New | Paid add-on Miro Insights turns customer feedback into clear signals to build the right product New | Paid add-on Miro Portfolios keep teams’ work aligned with company goals New | Paid add-on Enterprise Guard for advanced data security and governance features | Paid add-on Access premium 24/7 support, and guaranteed SLAs"
Monday,Free,Free,Up to 2 seats | 3 boards | Unlimited docs | 200+ templates | iOS Android apps
Monday,Basic,$9,Unlimited boards | Unlimited items | 5GB storage | Kanban Gantt calendar views | Prioritized support
Monday,Standard,$12,Timeline view | Calendar view | Guest access | Automations | Integrations
Monday,Pro,$19,Private boards | Chart view | Time tracking | Formula column | Dependency column
Monday,Enterprise,Contact sales,Enterprise-grade security | Advanced reporting | Multi-level permissions | Tailored onboarding | Premium support
Notion,Free,Free,"Trial of Notion AI | Free for individual usage | Basic forms | Basic sites | Notion Calendar | Notion Mail (Syncs with Gmail) | Databases including subtasks, dependencies, custom properties and more"
Notion,Plus,$10,Unlimited AI | Unlimited file uploads | Version history | Advanced permissions | 100+ integrations | Priority support
Notion,Business,$20,SAML SSO | Advanced security | Bulk export | Custom onboarding | Admin tools | Private teamspaces
Notion,Enterprise,Contact sales,Advanced controls | Audit logs | User provisioning | Dedicated success manager | Custom contract | 99.9% uptime SLA
Trello,Free,Free,Unlimited cards | Up to 10 boards | Unlimited Power-Ups | 10MB per file | Mobile apps | 2FA
Trello,Standard,$5,Unlimited boards | Advanced checklists | Custom Fields | 250MB per file | 1000 automations | Saved searches
Trello,Premium,$10,Calendar Timeline Table Dashboard Map views | Admin controls | Collections | Unlimited automations | Multi-board guests
Trello,Enterprise,$17.50,Organization-wide permissions | Public board management | Attachment permissions | Free SSO SAML | Power-Up administration | Org-visible boards
